ID;1.vs.22;2.vs.23;3.vs.24;4.vs.25;5.vs.26;6.vs.27;7.vs.28;8.vs.29;9.vs.30;10.vs.31;11.vs.32;12.vs.33;13.vs.34;14.vs.35;15.vs.36;16.vs.37;17.vs.38;18.vs.39;19.vs.40;20.vs.41;21.vs.42
A0A060AFB6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
A0A3B6GKR5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
A0A3B6GP11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
A0A3B6EAP9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
A0A3B6E8Y3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
A0A077RP15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
A0A3B6TZI7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
A0A077S4G0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;0
A0A0C4BK54;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
A0A3B6SS17;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
A0A3B6PIY7;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
A0A0C4BKA8;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1
W5HZE9;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1
A0A3B6RME9;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1
A0A3B6B6Q1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0
A0A3B6B6C6;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0
P83970;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0
